Theater,TheaterLabel,Sitz,SitzLabel
http://www.wikidata.org/entity/Q122799026,Theatergruppe Pürgen,http://www.wikidata.org/entity/Q507921,Pürgen
http://www.wikidata.org/entity/Q122799028,Theatergruppe Rampenlicht Bad Staffelstein-Wiesen,http://www.wikidata.org/entity/Q504634,Bad Staffelstein
http://www.wikidata.org/entity/Q122799030,Theatergruppe Ratz-Fatz Gochsheim,http://www.wikidata.org/entity/Q585507,Gochsheim
http://www.wikidata.org/entity/Q122799032,Theatergruppe Rohr,http://www.wikidata.org/entity/Q583512,Rohr
http://www.wikidata.org/entity/Q122799033,Theatergruppe Rohrbach,http://www.wikidata.org/entity/Q490174,Rohrbach
http://www.wikidata.org/entity/Q122799035,Theatergruppe Rott/Lech,http://www.wikidata.org/entity/Q515854,Rott
http://www.wikidata.org/entity/Q122799037,Theatergruppe Sarching,http://www.wikidata.org/entity/Q489142,Barbing
http://www.wikidata.org/entity/Q122799038,Theatergruppe SC-Inhauser Moos,http://www.wikidata.org/entity/Q512178,Haimhausen
http://www.wikidata.org/entity/Q122799040,Theatergruppe Schleching,http://www.wikidata.org/entity/Q258672,Schleching
http://www.wikidata.org/entity/Q122799041,Theatergruppe Schmidgaden,http://www.wikidata.org/entity/Q546435,Schmidgaden
http://www.wikidata.org/entity/Q122799043,Theatergruppe Schönberg,http://www.wikidata.org/entity/Q255041,Schönberg
http://www.wikidata.org/entity/Q122799045,Theatergruppe Schönbrunn,http://www.wikidata.org/entity/Q545248,Schönbrunn im Steigerwald
http://www.wikidata.org/entity/Q122799047,Theatergruppe Siemens München,http://www.wikidata.org/entity/Q258208,Neubiberg
http://www.wikidata.org/entity/Q122799049,Theatergruppe St. Matthäus Erlangen,http://www.wikidata.org/entity/Q3126,Erlangen
http://www.wikidata.org/entity/Q122799051,Theatergruppe Steindorf,http://www.wikidata.org/entity/Q503526,Steindorf
http://www.wikidata.org/entity/Q122799053,Theatergruppe Süd-München,http://www.wikidata.org/entity/Q267364,Hadern
http://www.wikidata.org/entity/Q122799055,Theatergruppe Sulzheim,http://www.wikidata.org/entity/Q545951,Sulzheim
http://www.wikidata.org/entity/Q122799056,Theatergruppe Szenenwechsel,http://www.wikidata.org/entity/Q525782,Lenting
http://www.wikidata.org/entity/Q122799058,Theatergruppe Taubenbach,http://www.wikidata.org/entity/Q2396482,Taubenbach
http://www.wikidata.org/entity/Q122799059,Theatergruppe Tiefenbach,http://www.wikidata.org/entity/Q837065,Tiefenbach
http://www.wikidata.org/entity/Q122799062,Theatergruppe Tyrlaching,http://www.wikidata.org/entity/Q1617853,Tyrlaching
http://www.wikidata.org/entity/Q122799064,Theatergruppe Überacker,http://www.wikidata.org/entity/Q254310,Landsberied
http://www.wikidata.org/entity/Q122799066,Theatergruppe Vierkirchen,http://www.wikidata.org/entity/Q526524,Vierkirchen
http://www.wikidata.org/entity/Q122799067,Theatergruppe Wald,http://www.wikidata.org/entity/Q502955,Marktoberdorf
http://www.wikidata.org/entity/Q122799069,Theatergruppe Wallerstein,http://www.wikidata.org/entity/Q503441,Wallerstein
http://www.wikidata.org/entity/Q122799071,Theatergruppe Zirgesheim,http://www.wikidata.org/entity/Q53742,Donauwörth
